post_id,word,lemma,pos,lemma_p,tag
15,@megynkelly,@megynkelly,ADV,@megynkelly_ADV,RB
15, , ,SPACE, _SPACE,_SP
15,DonaldTrump,DonaldTrump,PROPN,DonaldTrump_PROPN,NNP
15,#,#,SYM,#_SYM,$
15,KellyFile,KellyFile,PROPN,KellyFile_PROPN,NNP
15,Trump,Trump,PROPN,Trump_PROPN,NNP
15,is,be,AUX,be_AUX,VBZ
15,so,so,ADV,so_ADV,RB
15,right,right,ADJ,right_ADJ,JJ
15,about,about,ADP,about_ADP,IN
15,Geller,Geller,PROPN,Geller_PROPN,NNP
15,.,.,PUNCT,._PUNCT,.
15,Megyn,Megyn,NOUN,Megyn_NOUN,NNS
15,",",",",PUNCT,",_PUNCT",","
15,stop,stop,VERB,stop_VERB,VB
15,advocating,advocate,VERB,advocate_VERB,VBG
15,for,for,ADP,for_ADP,IN
15,her,she,PRON,she_PRON,PRP
15,",",",",PUNCT,",_PUNCT",","
15,its,its,PRON,its_PRON,PRP$
15,a,a,DET,a_DET,DT
15,loser,loser,NOUN,loser_NOUN,NN
15,.,.,PUNCT,._PUNCT,.
15,"""","""",PUNCT,"""_PUNCT",''
15,"""","""",PUNCT,"""_PUNCT",``
16,We,we,PRON,we_PRON,PRP
16,now,now,ADV,now_ADV,RB
16,have,have,VERB,have_VERB,VBP
16,complete,complete,ADJ,complete_ADJ,JJ
16,and,and,CCONJ,and_CCONJ,CC
16,total,total,ADJ,total_ADJ,JJ
16,control,control,NOUN,control_NOUN,NN
16,of,of,ADP,of_ADP,IN
16,the,the,DET,the_DET,DT
16,skies,sky,NOUN,sky_NOUN,NNS
16,over,over,ADP,over_ADP,IN
16,Iran,Iran,PROPN,Iran_PROPN,NNP
16,.,.,PUNCT,._PUNCT,.
16,Iran,Iran,PROPN,Iran_PROPN,NNP
16,had,have,VERB,have_VERB,VBD
16,good,good,ADJ,good_ADJ,JJ
16,sky,sky,NOUN,sky_NOUN,NN
16,trackers,tracker,NOUN,tracker_NOUN,NNS
16,and,and,CCONJ,and_CCONJ,CC
16,other,other,ADJ,other_ADJ,JJ
16,defensive,defensive,ADJ,defensive_ADJ,JJ
16,equipment,equipment,NOUN,equipment_NOUN,NN
16,",",",",PUNCT,",_PUNCT",","
16,and,and,CCONJ,and_CCONJ,CC
16,plenty,plenty,NOUN,plenty_NOUN,NN
16,of,of,ADP,of_ADP,IN
16,it,it,PRON,it_PRON,PRP
16,",",",",PUNCT,",_PUNCT",","
16,but,but,CCONJ,but_CCONJ,CC
16,it,it,PRON,it_PRON,PRP
16,does,do,AUX,do_AUX,VBZ
16,n’t,not,PART,not_PART,RB
16,compare,compare,VERB,compare_VERB,VB
16,to,to,ADP,to_ADP,IN
16,American,American,PROPN,American_PROPN,NNP
16,made,make,VERB,make_VERB,VBN
16,",",",",PUNCT,",_PUNCT",","
16,conceived,conceive,VERB,conceive_VERB,VBN
16,",",",",PUNCT,",_PUNCT",","
16,and,and,CCONJ,and_CCONJ,CC
16,manufactured,manufacture,VERB,manufacture_VERB,VBN
16,“,"""",PUNCT,"""_PUNCT",``
16,stuff,stuff,NOUN,stuff_NOUN,NN
16,.,.,PUNCT,._PUNCT,.
16,”,"""",PUNCT,"""_PUNCT",''
16,Nobody,nobody,PRON,nobody_PRON,NN
16,does,do,VERB,do_VERB,VBZ
16,it,it,PRON,it_PRON,PRP
16,better,well,ADJ,well_ADJ,JJR
16,than,than,ADP,than_ADP,IN
16,the,the,DET,the_DET,DT
16,good,good,ADJ,good_ADJ,JJ
16,ol’,ol’,ADJ,ol’_ADJ,JJ
16,USA,USA,PROPN,USA_PROPN,NNP
16,.,.,PUNCT,._PUNCT,.
17,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/,PROPN,https://www.thegatewaypundit.com/2025/07/her-biggest-scandal-yet-iran-china-are-circumventing/_PROPN,NNP
18,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home,PROPN,https://www.foxnews.com/politics/hunter-biden-received-250k-wire-from-beijing-with-beneficiary-address-listed-as-joe-biden-delaware-home_PROPN,NNP
19,Via,Via,PROPN,Via_PROPN,NNP
19,@BreitbartNews,@BreitbartNews,PROPN,@BreitbartNews_PROPN,NNP
19,by,by,ADP,by_ADP,IN
19,@TheTonyLee,@TheTonyLee,PROPN,@TheTonyLee_PROPN,NNP
19,:,:,PUNCT,:_PUNCT,:
19,"""","""",PUNCT,"""_PUNCT",``
19,"""","""",PUNCT,"""_PUNCT",``
19,@Citizens_United,@citizens_unite,VERB,@citizens_unite_VERB,VBN
19,sues,sue,NOUN,sue_NOUN,NNS
19,@AGSchneiderman,@AGSchneiderman,PROPN,@AGSchneiderman_PROPN,NNP
19,for,for,ADP,for_ADP,IN
19,violating,violate,VERB,violate_VERB,VBG
19,1st,1st,PROPN,1st_PROPN,NNP
19,Amendment,Amendment,PROPN,Amendment_PROPN,NNP
19,"""","""",PUNCT,"""_PUNCT",''
19,"""","""",PUNCT,"""_PUNCT",``
19,http://t.co/1YMvzIOnfI,http://t.co/1ymvzionfi,NOUN,http://t.co/1ymvzionfi_NOUN,NN
20,"""","""",PUNCT,"""_PUNCT",``
20,"""","""",PUNCT,"""_PUNCT",``
20,@LBabcock2,@lbabcock2,NOUN,@lbabcock2_NOUN,NN
20,:,:,PUNCT,:_PUNCT,:
20, , ,SPACE, _SPACE,_SP
20,@oreillyfactor,@oreillyfactor,PROPN,@oreillyfactor_PROPN,NNP
20,@FoxNews,@foxnew,NOUN,@foxnew_NOUN,NNS
20,I,I,PRON,I_PRON,PRP
20,have,have,AUX,have_AUX,VBP
20,always,always,ADV,always_ADV,RB
20,wondered,wonder,VERB,wonder_VERB,VBN
20,why,why,SCONJ,why_SCONJ,WRB
20,Fox,Fox,PROPN,Fox_PROPN,NNP
20,kept,keep,VERB,keep_VERB,VBD
20,Rove,Rove,PROPN,Rove_PROPN,NNP
20,on,on,ADP,on_ADP,RP
20,after,after,ADP,after_ADP,IN
20,his,his,PRON,his_PRON,PRP$
20,disastrous,disastrous,ADJ,disastrous_ADJ,JJ
20,election,election,NOUN,election_NOUN,NN
20,predictions,prediction,NOUN,prediction_NOUN,NNS
20,.,.,PUNCT,._PUNCT,.
20,"""","""",PUNCT,"""_PUNCT",''
20,"""","""",PUNCT,"""_PUNCT",``
20,He,he,PRON,he_PRON,PRP
20,is,be,AUX,be_AUX,VBZ
20,a,a,DET,a_DET,DT
20,joke,joke,NOUN,joke_NOUN,NN
20,!,!,PUNCT,!_PUNCT,.
21,Congratulations,congratulation,NOUN,congratulation_NOUN,NNS
21,to,to,ADP,to_ADP,IN
21,State,State,PROPN,State_PROPN,NNP
