post_id,word,lemma,pos,lemma_p
27, , ,SPACE, _SPACE
27,incite,incite,VERB,incite_VERB
27,the,the,DET,the_DET
27,January,January,PROPN,January_PROPN
27,6th,6th,NOUN,6th_NOUN
27,"riot,","riot,",PUNCT,"riot,_PUNCT"
27,what's,what's,PROPN,what's_PROPN
27,the,the,DET,the_DET
27,actual,actual,ADJ,actual_ADJ
27,crime,crime,NOUN,crime_NOUN
27,and,and,CCONJ,and_CCONJ
27, , ,SPACE, _SPACE
27,conspiracy?Objecting,conspiracy?objecte,VERB,conspiracy?objecte_VERB
27,to,to,ADP,to_ADP
27,the,the,DET,the_DET
27,election,election,NOUN,election_NOUN
27,--,--,PUNCT,--_PUNCT
27,and,and,CCONJ,and_CCONJ
27,submitting,submit,VERB,submit_VERB
27,contingent,contingent,NOUN,contingent_NOUN
27, , ,SPACE, _SPACE
27,electors?Allowed,electors?allowe,VERB,electors?allowe_VERB
27,by,by,ADP,by_ADP
27,Electoral,Electoral,PROPN,Electoral_PROPN
27,Count,Count,PROPN,Count_PROPN
27,Act,Act,PROPN,Act_PROPN
27,of,of,ADP,of_ADP
27,1887.Twisting,1887.twiste,VERB,1887.twiste_VERB
27, , ,SPACE, _SPACE
27,political,political,ADJ,political_ADJ
27,arms?Allowed,arms?allowe,VERB,arms?allowe_VERB
27,by,by,ADP,by_ADP
27,First,First,PROPN,First_PROPN
27,Amendment,Amendment,PROPN,Amendment_PROPN
27,.,.,PUNCT,._PUNCT
27,Trump's,trump',NOUN,trump'_NOUN
27, , ,SPACE, _SPACE
27,"""crime""?Winning","""crime""?winne",VERB,"""crime""?winne_VERB"
27,in,in,ADP,in_ADP
27, , ,SPACE, _SPACE
27,2016.,2016.,NOUN,2016._NOUN
28,"JOBS,","JOBS,",PROPN,"JOBS,_PROPN"
28,"JOBS,","JOBS,",PROPN,"JOBS,_PROPN"
28,JOBS!,JOBS!,PROPN,JOBS!_PROPN
28,#MAGA,#MAGA,PROPN,#MAGA_PROPN
28,https://t.co,https://t.co,PROPN,https://t.co_PROPN
28,/,/,SYM,/_SYM
28,ZqPjsPUX0t,ZqPjsPUX0t,PROPN,ZqPjsPUX0t_PROPN
29,Facebook,Facebook,PROPN,Facebook_PROPN
29,was,be,AUX,be_AUX
29,always,always,ADV,always_ADV
29,anti,anti,ADJ,anti_ADJ
29,-,-,ADJ,-_ADJ
29,Trump,trump,ADJ,trump_ADJ
29,.,.,PUNCT,._PUNCT
29,The,the,DET,the_DET
29,Networks,Networks,PROPN,Networks_PROPN
29,were,be,AUX,be_AUX
29,always,always,ADV,always_ADV
29,anti,anti,ADJ,anti_ADJ
29,-,-,ADJ,-_ADJ
29,Trump,trump,ADJ,trump_ADJ
29,hence,hence,ADV,hence_ADV
29,",",",",PUNCT,",_PUNCT"
29,Fake,Fake,PROPN,Fake_PROPN
29,"News,","News,",PROPN,"News,_PROPN"
29,@nytimes(apologized),@nytimes(apologized),NUM,@nytimes(apologized)_NUM
29,"&amp,","&amp,",NOUN,"&amp,_NOUN"
